feature,VIF
UMD_2_12,68.4537
UMD_2_6,57.6677
UMD_7_12,41.341
STR_6,37.4295
VOL_3,27.1298
VOL_2,26.2444
VOL_1,18.6754
VOL_0.5,13.0814
VOL_5,10.5239
HML_3,7.1752
HML_2,6.4352
STR_1,6.2677
HML_5,4.3364
Beta,2.5785
