Feature,Global_SHAP
VOL_0.5,0.078
STR_1,0.0611
UMD_7_12,0.054
VOL_1,0.049
Beta,0.0448
VOL_3,0.0142
HML_5,0.0133
VOL_2,0.0131
UMD_2_6,0.0129
HML_3,0.0117
STR_6,0.0116
HML_2,0.0086
industryKey_emb0,0.0078
UMD_2_12,0.0072
industryKey_emb2,0.0052
VOL_5,0.0049
industryKey_returns_count_encoded,0.0046
sectorKey_emb1,0.0042
sectorKey_returns_count_encoded,0.0021
industryKey_emb1,0.0009
sectorKey_emb0,0.0009
country_emb0,0.0007
country_returns_count_encoded,0.0001
